"id","dictionary_name","page_number","document_id"
1,dezoomified_0230.djvu,0,1
2,dezoomified_0231.djvu,1,1
3,dezoomified_0232.djvu,2,1
4,dezoomified_0233.djvu,3,1
5,dezoomified_0234.djvu,4,1
6,dezoomified_0235.djvu,5,1
7,dezoomified_0236.djvu,6,1
8,dezoomified_0237.djvu,7,1
9,dezoomified_0238.djvu,8,1
10,dezoomified_0239.djvu,9,1
11,dezoomified_0240.djvu,10,1
12,dezoomified_0241.djvu,11,1
13,dezoomified_0242.djvu,12,1
14,dezoomified_0243.djvu,13,1
15,dezoomified_0244.djvu,14,1
16,dezoomified_0245.djvu,15,1
17,dezoomified_0246.djvu,16,1
18,dezoomified_0247.djvu,17,1
19,dezoomified_0248.djvu,18,1
20,dezoomified_0249.djvu,19,1
21,dezoomified_0250.djvu,20,1
22,dezoomified_0251.djvu,21,1
23,dezoomified_0252.djvu,22,1
24,dezoomified_0253.djvu,23,1
25,dezoomified_0254.djvu,24,1
26,dezoomified_0255.djvu,25,1
27,dezoomified_0256.djvu,26,1
28,dezoomified_0257.djvu,27,1
29,dezoomified_0258.djvu,28,1
30,dezoomified_0259.djvu,29,1
31,dezoomified_0260.djvu,30,1
32,dezoomified_0261.djvu,31,1
33,dezoomified_0262.djvu,32,1
34,dezoomified_0263.djvu,33,1
35,dezoomified_0264.djvu,34,1
36,dezoomified_0265.djvu,35,1
37,dezoomified_0266.djvu,36,1
38,dezoomified_0267.djvu,37,1
39,dezoomified_0268.djvu,38,1
40,dezoomified_0269.djvu,39,1
41,dezoomified_0270.djvu,40,1
42,dezoomified_0271.djvu,41,1
43,dezoomified.djvu,42,1
`